nombreUniversidad,sector,provincia,nombreCarrera,areaConocimiento,nivel,modalidad,duracionAnios,cantidadCarrerasVirtuales,cantidadAreas,porcentajeOfertaVirtual,observaciones,
Universidad de Palermo,Privada,Buenos Aires,Maestría en Derecho con orientación en Derecho de Familia,Facultad de Derecho,Grado,Distancia o Combinada ,2,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Maestría en Derecho con orientación en Derecho Penal,Facultad de Derecho,Grado,Distancia o Combinada ,2,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Maestría en Derecho con orientación en Derecho Constitucional y Derechos Humanos,Facultad de Derecho,Grado,Distancia o Combinada ,2,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diplomatura de Posgrado en Derecho de Familia,Facultad de Derecho,Formación Complementaria,Distancia o Combinada ,1,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diplomatura de Posgrado en Derecho Penal,Facultad de Derecho,Formación Complementaria,Distancia o Combinada ,1,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diplomatura de Posgrado en Derecho Constitucional y Derechos Humanos,Facultad de Derecho,Formación Complementaria,Distancia o Combinada ,1,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Maestría en Derecho con orientación en Derecho Privado Patrimonial,Facultad de Derecho,Formación Complementaria,Distancia o Combinada ,2,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Diplomatura de Posgrado en Derecho de Familia,Facultad de Derecho,Formación Complementaria,Distancia o Combinada ,1,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Gastronomía,Facultad de Negocios,Grado,Combinada,,"""+50""",,,Podés cursar en modalidad online hasta el 50% del programa.,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Humanidades y Ciencias Sociales,Facultad de Ciencias Sociales,Grado,Distancia,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Periodismo Digital,Facultad de Ciencias Sociales,Grado,Distancia,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura Periodismo Deportivo,Facultad de Ciencias Sociales,Grado,Distancia,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Relaciones Internacionales,Facultad de Ciencias Sociales,Grado,Distancia o Combinada ,4,"""+50""",5,,Podés cursar en modalidad online algunas materias del programa.,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Relaciones Internacionales y Ciencias Políticas,Facultad de Ciencias Sociales,Grado,Distancia,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Psicología (4to año presencial),Facultad de Ciencias Sociales,Grado,Distancia,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Maestría en Psicoterapia Cognitivo Conductual,Facultad de Ciencias Sociales,Posgrado,Distancia,2,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Doctorado en Psicología,Facultad de Ciencias Sociales,Doctorado,Distancia o Combinada ,3-5,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Ingeniería en Ciencia de Datos,Facultad de Ingeniería,Grado,Distancia o Combinada ,5,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Ingeniería Industrial,Facultad de Ingeniería,Grado,Distancia o Combinada ,5,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Ingeniería en Telecomunicaciones,Facultad de Ingeniería,Grado,Distancia o Combinada ,5,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Ingeniería Electrónica,Facultad de Ingeniería,Grado,Distancia o Combinada ,5,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Ingeniería en Informática,Facultad de Ingeniería,Grado,Distancia o Combinada ,5,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Ingeniería en Inteligencia Artificial,Facultad de Ingeniería,Grado,Distancia o Combinada ,5,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Ciberseguridad,Facultad de Ingeniería,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Inteligencia Artificial,Facultad de Ingeniería,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Informática,Facultad de Ingeniería,Grado,Distancia o Combinada ,4 y medio,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Organización de la Producción,Facultad de Ingeniería,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Redes y Comunicación de Datos,Facultad de Ingeniería,Grado,Distancia,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Licenciatura en Tecnología de la Información,Facultad de Ingeniería,Grado,Distancia o Combinada ,4,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Tecnología de la Información (Ciclo de Complementación Curricular),Facultad de Ingeniería,Grado Complementario,Distancia o Combinada ,2,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Analista Universitario en Sistemas,Facultad de Ingeniería,Pregrado,Distancia,2 y medio,"""+50""",5,,,
Universidad de Palermo,Privada,Buenos Aires,Maestría en Tecnología de la Información,Facultad de Ingeniería,Posgrado,Distancia,2,"""+50""",5,,,
